j_day,host_spp,host_den
3937,squirrel,8
3938,deer,8
3938,mouse,100
3938,squirrel,8
3939,deer,8
3939,mouse,100
3939,squirrel,8
3940,deer,8
3940,mouse,100
3940,squirrel,8
3941,deer,8
3941,mouse,100
3941,squirrel,8
3942,deer,8
3942,mouse,100
3942,squirrel,8
3943,deer,8
3943,mouse,100
3943,squirrel,8
3944,deer,8
3944,mouse,100
3944,squirrel,8
3945,deer,8
3945,mouse,100
3945,squirrel,8
3946,deer,8
3946,mouse,100
3946,squirrel,8
3947,deer,8
3947,mouse,100
3947,squirrel,8
3948,deer,8
3948,mouse,100
3948,squirrel,8
3949,deer,8
3949,mouse,100
3949,squirrel,8
3950,deer,8
3950,mouse,100
3950,squirrel,8
3951,deer,8
3951,mouse,100
3951,squirrel,8
3952,deer,8
3952,mouse,100
3952,squirrel,8
3953,deer,8
3953,mouse,100
3953,squirrel,8
3954,deer,8
3954,mouse,100
3954,squirrel,8
3955,deer,8
3955,mouse,100
3955,squirrel,8
3956,deer,8
3956,mouse,100
3956,squirrel,8
3957,deer,8
3957,mouse,100
3957,squirrel,8
3958,deer,8
3958,mouse,100
3958,squirrel,8
3959,deer,8
3959,mouse,100
3959,squirrel,8
3960,deer,8
3960,mouse,100
3960,squirrel,8
3961,deer,8
3961,mouse,100
3961,squirrel,8
3962,deer,8
3962,mouse,100
